Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stockholders_Equity,Stockholders_Equity_Growth,Cash_And_Equivalents,Cash_And_Equivalents_Growth,Total_Assets,Total_Assets_Growth,Working_Capital,Working_Capital_Growth,Total_Debt,Total_Debt_Growth
2020-09-28,111.87226250974926,112.17380261589848,109.70309881693417,111.82362365722656,137672400,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-09-29,111.42483559860969,112.16409584063497,110.47156881534237,110.97737884521484,99382200,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-09-30,110.68555737521241,114.0608892683136,110.52019713326597,112.65044403076172,142675200,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-01,114.430522644009,114.50834184995564,112.66990578164197,113.60371398925781,116120400,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-02,109.81012618440236,112.22246990869148,109.1584069544176,109.93657684326172,144712000,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-05,110.80229665236467,113.46754155068632,110.45211762382625,113.3216323852539,106243800,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-06,112.5434428788478,112.95198998188178,109.18756954507073,110.07274627685547,161498200,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-07,111.49291174621311,112.39753955518432,111.01627470298001,111.94036102294922,96849000,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-08,113.07846713076107,113.22437631453451,111.46375169383396,111.83338928222656,83477200,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-09,112.13489800701674,113.80797367927401,111.78471903276535,113.77879333496094,100506900,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-12,116.78448204587328,121.76479922888184,116.02576344443284,121.0060806274414,240226800,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-13,121.85237465945383,121.96910348541796,116.38570451532449,117.796142578125,262330500,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-14,117.69885586154554,119.67347184273211,116.35650794568298,117.88367462158203,150712000,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-15,115.48106448900049,117.89340060422654,114.92661561063214,117.4167709350586,112559200,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-16,117.97120175123152,118.23383968675911,115.56858783907589,115.77285766601562,115393800,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-19,116.68723164895509,117.13468096654279,112.50454937346234,112.8158187866211,120639300,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-20,113.02980416838349,115.73396585696945,112.47535532523321,114.30406951904297,124423700,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-21,113.48697818121386,115.47132328298426,113.27297908868262,113.68152618408203,89946000,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-22,114.24570410467129,114.81961147307034,111.4637305673421,112.59208679199219,101988000,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
