Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stockholders_Equity,Stockholders_Equity_Growth,Cash_And_Equivalents,Cash_And_Equivalents_Growth,Total_Assets,Total_Assets_Growth,Working_Capital,Working_Capital_Growth,Total_Debt,Total_Debt_Growth
2020-09-28,244.98298395056716,245.9923703327538,239.68868465272072,244.1022491455078,4088300,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-09-29,242.7069552037406,245.3194734617211,241.95487187642658,244.87416076660156,3983700,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-09-30,244.0824721112701,252.75129389202382,243.65695547680193,248.70387268066406,8188500,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-01,250.544467155217,252.01896215143574,248.1991429551464,250.81166076660156,4318000,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-02,247.1502201273427,252.29608755645006,244.6366669750316,245.27000427246094,4494500,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-05,247.3975796319764,250.64343466875195,246.40798931344852,248.91165161132812,3403500,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-06,250.0991836456256,254.61172866331523,246.40801559185454,247.53614807128906,4448100,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-07,249.57468528060767,258.02578029438956,249.57468528060767,257.2737121582031,4963200,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-08,261.4497803834998,261.8653914151114,254.40387178196784,257.5111999511719,4150400,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-09,260.1632875957204,263.2804910458601,258.77786719564716,263.21124267578125,4225000,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-12,267.1894096339422,267.1894096339422,262.52844727741166,264.2899169921875,4317000,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-13,263.64666271435726,265.99198690849965,261.4794575273878,264.0523681640625,3713200,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
