Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stockholders_Equity,Stockholders_Equity_Growth,Cash_And_Equivalents,Cash_And_Equivalents_Growth,Total_Assets,Total_Assets_Growth,Working_Capital,Working_Capital_Growth,Total_Debt,Total_Debt_Growth
2020-09-28,257.8106850794095,258.00947183859324,253.25875946787116,255.2465057373047,18826300,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-09-29,256.23040948448823,261.71657782053796,255.32598136617338,260.18603515625,20200200,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-09-30,260.3749064781673,264.44976224953746,258.50642004785584,260.2953796386719,20142500,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-01,263.7242121547099,266.6859343453283,263.17756379487133,264.9963684082031,20009800,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-02,259.60955887022527,263.5254209322513,257.59199788542276,258.34735107421875,16367600,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-05,260.59353258086253,263.2471567078468,259.2418494259985,263.02850341796875,12822300,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-06,260.1760742376112,264.062121329849,256.6577553046133,257.0751953125,18696900,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-07,257.6218311953234,258.5858892909873,253.2587441693883,256.53851318359375,23133400,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-08,258.1585109919277,262.99866763481924,257.5621811275594,262.1439514160156,16312800,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-09,262.8992599688216,263.12786166473063,260.5636828171991,262.8297119140625,14107800,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-12,268.5445326028674,278.463367056186,266.2287912184097,274.0605163574219,31019300,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-13,275.8792387363067,277.38994502433513,271.7149390007735,274.4480895996094,18063300,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-14,275.9190229160564,277.04210428137515,269.83652488750977,270.1545715332031,15577800,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-15,265.9604285478444,267.39160813562887,262.0545148243733,265.0858154296875,15416100,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-16,265.74178726862857,269.70733112644956,263.6745142904317,264.3006591796875,16622700,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-19,263.9031322965135,266.90461824489216,258.28775515045425,259.7984313964844,13587000,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-20,261.44825585427947,268.04758781197927,261.26936597521654,265.9206848144531,18763200,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-21,277.8470873870673,281.31569387618833,274.67663061627485,277.0221862792969,28998600,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-22,278.15526305374203,280.7194726683102,273.3548692673626,276.4159851074219,16720000,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-23,277.0917849843274,283.4923296397231,275.12393582241333,283.04510498046875,17535200,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-26,281.42515227067094,283.4824771713826,272.57968643816247,275.4122009277344,21322900,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-27,277.05207732254803,282.76684769418074,274.6170760754383,281.5543212890625,16287200,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-28,277.0818934520101,277.0818934520101,265.62253768118745,266.030029296875,23121800,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-29,274.85559925877266,281.8624229545354,272.1025816348378,279.109375,32368100,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-30,272.818185292547,275.0047183998101,257.5125445335118,261.4979553222656,47247800,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-02,262.97880566594404,268.8128354073454,255.7632778758947,259.7586364746094,27165700,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-03,261.54765729677786,268.3954274106286,259.2816277669627,263.6745300292969,17961900,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-04,279.2782876429828,287.16964097293663,276.9128652648553,285.61920166015625,35364400,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-05,290.11157600129116,295.558011962204,287.1796683103109,292.8745422363281,23823600,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-06,292.149004644455,292.79501608176406,286.29507763161877,291.6123046875,13891000,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-09,288.093946468079,290.78733366350986,276.8234308819601,277.06195068359375,25117700,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-10,271.42671145134096,272.3211910492522,262.38246144891457,270.76080322265625,29067700,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-11,271.7944735703017,276.6942605964407,270.81054892265985,274.7860412597656,14957000,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-12,275.481762560549,278.0360239292526,272.7486112976162,273.3946228027344,12899500,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-13,276.0184146121756,276.05817802529583,271.42672614120846,275.2531433105469,10391200,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-16,273.36480670901653,277.69810955654475,272.9473969575121,277.2508544921875,12970400,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-17,275.9786665399034,275.9786665399034,271.6155795385993,273.3150939941406,15040300,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-18,272.83795239593434,275.69039283324724,270.1743805492232,270.3035888671875,12152900,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-19,269.3594809846684,271.7944822511571,267.5407065278164,271.2677307128906,12963700,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-20,270.8900393024062,271.3273458760536,267.75934522380226,268.0475769042969,18114700,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-23,269.2302889315383,269.289918888945,262.9092404710399,266.78533935546875,20990800,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-24,266.8449551001431,276.117807280776,266.2287586860281,275.22332763671875,16930400,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-25,276.43585310996593,278.4633322090346,270.97946966914446,273.9014587402344,12467000,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-27,275.69043945617915,277.41976872916064,273.1361786277299,276.10784912109375,7808400,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-11-30,274.3387976071053,275.9985790720854,269.3495654363195,275.2730407714844,16693300,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-12-01,277.4496054254641,287.5274624222444,277.2508186824023,284.7943115234375,20738900,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-12-02,283.6115621500077,289.99223964766236,279.10931903154386,285.7583312988281,17361600,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-12-03,284.4961739879799,284.8937171606204,279.3479186253754,280.1231384277344,12921700,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
