Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stockholders_Equity,Stockholders_Equity_Growth,Cash_And_Equivalents,Cash_And_Equivalents_Growth,Total_Assets,Total_Assets_Growth,Working_Capital,Working_Capital_Growth,Total_Debt,Total_Debt_Growth
2020-09-28,202.19710188660275,203.81751912826357,199.4932072780414,200.81639099121094,32004900,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-09-29,200.73009133926791,201.4204467564283,198.29466677580942,198.72613525390625,24221900,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-09-30,199.1767719229634,203.25177937534346,198.03576749541497,201.6697235107422,33829100,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-01,204.69964038543978,205.17905308654628,202.6189910182993,203.71205139160156,27158400,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-02,199.43566680293182,202.30255978020878,197.07695007543285,197.7001953125,33154800,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-05,198.68782032558104,201.74647599676422,198.4576969397012,201.71771240234375,21331600,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-06,200.2219174695407,201.52590590584774,196.38661605306922,197.43173217773438,28554300,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-07,198.5343725872616,201.458792800773,198.20837548293932,201.19032287597656,25681100,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-08,201.84234479881962,202.49435372750264,199.74252930524,201.9094696044922,19925800,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-09,202.5326658550179,206.97203171595046,202.5326658550179,206.92408752441406,26458000,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-12,209.78140069312866,214.64265244429112,207.882930516998,212.283935546875,40461400,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-13,213.54958766520096,215.93706810447387,211.35386937390456,213.68382263183594,28950800,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-14,213.81807545397245,214.9878436739825,210.107425642433,211.7661895751953,23421700,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-15,208.16097962773364,211.2867448559503,207.1158489257923,210.61557006835938,22733100,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-16,211.08538510441647,213.1372706724877,210.2895729758885,210.61557006835938,26057900,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-19,211.34428086543105,213.14687719644527,204.92015397771777,205.39956665039062,27625800,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-20,206.91451708098484,208.41986529898946,204.31609389953766,205.81185913085938,22753500,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2020-10-21,204.3448694172439,207.98840894984195,204.3448694172439,205.95570373535156,22724900,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
