gene_id,type,operation,feature_index,constant_value,weight,feature_name
0,constant,,,-8.471047025205962,-8.471047025205962,
1,constant,,,-3.7198248559499403,-3.7198248559499403,
2,feature,,31.0,,1.0,stoch_k_9
3,feature,,31.0,,1.0,stoch_k_9
4,operation,LOG,,,1.0,
5,feature,,18.0,,1.0,ema_21
6,operation,VOLATILITY_BURST,,,1.0,
7,feature,,8.0,,1.0,sma_10
8,operation,POWER,,,1.0,
9,feature,,33.0,,1.0,volume_sma
10,constant,,,3.30216395536066,3.30216395536066,
11,feature,,20.0,,1.0,ema_26
12,feature,,35.0,,1.0,volatility
13,operation,SQRT,,,1.0,
14,operation,ABS,,,1.0,
15,operation,MEAN_REVERSION,,,1.0,
16,constant,,,-7.73442363179297,-7.73442363179297,
17,feature,,2.0,,1.0,high
18,operation,TREND_STRENGTH,,,1.0,
19,feature,,27.0,,1.0,bb_upper_10
20,operation,AND,,,1.0,
21,operation,LT,,,1.0,
22,constant,,,0.4413658068206807,0.4413658068206807,
23,operation,POWER,,,1.0,
24,feature,,27.0,,1.0,bb_upper_10
25,operation,EXP,,,1.0,
26,feature,,25.0,,1.0,bb_lower_20
27,feature,,20.0,,1.0,ema_26
28,constant,,,-9.764456678208076,-9.764456678208076,
29,constant,,,-9.354137738384507,-9.354137738384507,
30,operation,ADD,,,1.0,
31,constant,,,9.196248248303956,9.196248248303956,
32,operation,SUB,,,1.0,
33,operation,EXP,,,1.0,
34,feature,,15.0,,1.0,ema_8_ratio
35,feature,,13.0,,1.0,sma_200
36,feature,,4.0,,1.0,volume
37,feature,,32.0,,1.0,stoch_d_9
38,operation,NOT,,,1.0,
39,feature,,32.0,,1.0,stoch_d_9
40,feature,,25.0,,1.0,bb_lower_20
41,feature,,28.0,,1.0,bb_lower_10
42,operation,OR,,,1.0,
43,feature,,34.0,,1.0,momentum_5
44,operation,SQRT,,,1.0,
45,operation,REGIME_DETECT,,,1.0,
46,operation,MOMENTUM_SHIFT,,,1.0,
47,operation,DIV,,,1.0,
48,operation,SUB,,,1.0,
49,feature,,4.0,,1.0,volume
50,feature,,4.0,,1.0,volume
51,feature,,15.0,,1.0,ema_8_ratio
52,constant,,,-9.547246593885683,-9.547246593885683,
53,operation,SIN,,,1.0,
54,feature,,11.0,,1.0,sma_50
55,feature,,0.0,,1.0,close
56,feature,,23.0,,1.0,rsi_14
57,feature,,8.0,,1.0,sma_10
58,operation,MIN,,,1.0,
59,operation,MOMENTUM_SHIFT,,,1.0,
